deutsch,english
der,the
die,the
und,and
in,in
den,the
von,from
zu,to
das,the
mit,with
sich,itself
des,the
auf,on
für,for
ist,is
im,in the
dem,dem
nicht,not
ein,a
Die,The
eine,one
als,as
auch,also
es,it
an,to
werden,become
aus,out of
er,he
hat,has
daß,that
sie,she
nach,after
wird,becomes
bei,at
einer,one
Der,The
um,to
am,at
sind,are
noch,still
wie,How
einem,a
über,above
einen,a
Das,The
so,so
Sie,She
zum,for the
war,was
haben,have
nur,only
oder,or
aber,but
vor,before
zur,to
bis,until
mehr,more
durch,through
man,man
sein,be
wurde,became
sei,be
In,In
Prozent,percent
hatte,had
kann,can
gegen,against
vom,from the
können,can
schon,already
wenn,if
habe,have
seine,his
Mark,mark
ihre,her
dann,then
unter,under
wir,we
soll,should
ich,I
eines,one
Es,It
Jahr,Year
zwei,two
Jahren,years
diese,this
dieser,this
wieder,again
keine,no
Uhr,Clock
seiner,his
worden,have
Und,And
will,will
zwischen,between
Im,In the
immer,always
Millionen,millions
Ein,A
was,What
sagte,said
Er,He
gibt,gives
alle,all
DM,DM
diesem,this
seit,since
muß,must
wurden,became
beim,at the
doch,but
jetzt,now
waren,were
drei,three
Jahre,Years
Mit,With
neue,new
neuen,new
damit,with it
bereits,already
da,there
Auch,Also
ihr,her
seinen,his
müssen,must
ab,away
ihrer,their
Nach,After
ohne,without
sondern,rather
selbst,himself
ersten,first
nun,so
etwa,approximately
Bei,At
heute,today
ihren,your
weil,because
ihm,him
seien,be
Menschen,People
Deutschland,Germany
anderen,others
werde,become
Ich,I
sagt,says
Wir,We
Eine,One
rund,around
Für,For
Aber,But
ihn,him
Ende,End
jedoch,however
Zeit,Time
sollen,should
ins,into the
Wenn,If
So,So
seinem,his
uns,us
Stadt,City
geht,goes
Doch,But
sehr,very
hier,here
ganz,quite
erst,first
wollen,want
Berlin,Berlin
vor allem,above all
sowie,as well as 
hatten,had
kein,no
deutschen,German
machen,make
lassen,let
Als,As
Unternehmen,Pursue
andere,other
ob,whether
dieses,this
steht,stands
dabei,included
wegen,because of
weiter,further
denn,because
beiden,both
einmal,once
etwas,something
Wie,How
nichts,nothing
allerdings,however
vier,four
gut,good
viele,many
wo,where
viel,much
dort,there
alles,everything
Auf,On
wäre,were
SPD,SPD
kommt,comes
vergangenen,past
denen,those
fast,almost
fünf,five
könnte,could
nicht nur,not only
hätten,have
Frau,Woman
Am,On
dafür,for that
kommen,come
diesen,this
letzten,last
zwar,that is
Diese,This
großen,large
dazu,in addition
Von,From
Mann,Man
Da,There
sollte,should
würde,would
also,so
bisher,until now
Leben,Life
Milliarden,billions
Welt,World
Regierung,Government
konnte,could
ihrem,their
Frauen,Women
während,while
Land,country
zehn,ten
würden,would
stehen,stand
ja,Yes
USA,USA
heißt,is called
dies,this
zurück,back
Kinder,Children
dessen,whose
ihnen,them
deren,whose
sogar,even
Frage,Ask
gewesen,been
erste,first
gab,gave
liegt,lies
gar,even
davon,of that
gestern,yesterday
geben,give
Teil,Part
Polizei,police
dass,that
hätte,would have
eigenen,own
kaum,barely
sieht,sees
große,size
Denn,Because
weitere,more
Was,What
sehen,see
macht,might
Angaben,Declarations
weniger,fewer
gerade,straight
läßt,lets
Geld,Money
München,Munich
deutsche,German
allen,all
darauf,on it
wohl,probably
später,later
könne,can
deshalb,for this reason
aller,all
kam,came
Arbeit,Work
mich,me
gegenüber,opposite
nächsten,next
bleibt,remains
wenig,few
lange,long
gemacht,made
Wer,Who
Dies,This
Fall,case
mir,me
gehen,go
Berliner,Berliner
mal,just
Weg,Away
CDU,CDU
wollte,wanted
sechs,six
keinen,none
Woche,Week
dagegen,against it
alten,old
möglich,possible
gilt,applies
erklärte,explained
müsse,must
Dabei,Included
könnten,could
Geschichte,Story
zusammen,together
finden,find
Tag,day
Art,Art
erhalten,receive
Man,Man
Dollar,dollar
Wochen,Weeks
jeder,everyone
nie,never
bleiben,remain
besonders,particularly
Jahres,year
Deutschen,Germans
Den,The
Zu,To
zunächst,first
derzeit,currently
allein,alone
deutlich,clearly
Entwicklung,Development
weiß,white
einige,some
sollten,should
Präsident,president
geworden,become
statt,instead of
Bonn,Bonn
Platz,Place
inzwischen,in the meantime
Nur,Only
Freitag,Friday
Um,To
pro,per
seines,his
Damit,With it
Montag,Monday
Europa,Europe
schließlich,finally
Sonntag,Sunday
einfach,simply
gehört,heard
eher,rather
oft,often
Zahl,Number
neben,next to
hält,holds
weit,far
Partei,party
meisten,most
Thema,Theme
zeigt,shows
Politik,policy
Aus,Out of
zweiten,second
Januar,January
insgesamt,in total
je,each
mußte,had to
Anfang,Beginning
hinter,behind
ebenfalls,also
ging,went
Mitarbeiter,Employees
darüber,about it
vielen,many
Ziel,Goal
darf,may
Seite,Page
fest,firmly
hin,there
erklärt,explained
Namen,names
Haus,House
An,To
Frankfurt,Frankfurt
Gesellschaft,Company
Mittwoch,Wednesday
damals,at that time
Dienstag,Tuesday
Hilfe,Help
Mai,May
Markt,market
Seit,Since
Tage,days
Donnerstag,Thursday
halten,hold
gleich,even
nehmen,take
solche,such
Entscheidung,Decision
besser,better
alte,old
Leute,People
Ergebnis,Result
Samstag,Saturday
Daß,That
sagen,say
System,system
März,March
tun,do
Monaten,months
kleinen,small
lang,long
Nicht,Not
knapp,meager
bringen,bring
wissen,knowledge
Kosten,Cost
Erfolg,Success
bekannt,known
findet,finds
daran,to it
künftig,future
wer,who
acht,eight
Grünen,Greens
schnell,fast
Grund,Reason
scheint,appears
Zukunft,Future
Stuttgart,Stuttgart
bin,am
liegen,lay
politischen,political
Gruppe,group
Rolle,role
stellt,presents
Juni,June
sieben,seven
September,September
nämlich,namely
Männer,Men
Oktober,October
Mrd,Billion
überhaupt,at all
eigene,own
Dann,Then
gegeben,given
Außerdem,Besides that
Stunden,Hours
eigentlich,actually
Meter,meter
ließ,let
Probleme,Problems
vielleicht,perhaps
ebenso,as well
Bereich,Area
zum Beispiel,for example
Bis,Until
Höhe,Height
Familie,Family
Während,While
Bild,Picture
Ländern,countries
Informationen,information
Frankreich,France
Tagen,days
schwer,difficult
zuvor,before
Vor,Before
genau,Exactly
April,April
stellen,place
neu,new
erwartet,expected
Hamburg,Hamburg
sicher,secure
führen,lead
Mal,Just
Über,Over
mehrere,several
Wirtschaft,Business
Mio,million
Programm,program
offenbar,apparently
Hier,Here
weiteren,further
natürlich,naturally
konnten,could
stark,strong
Dezember,December
Juli,July
ganze,whole
kommenden,upcoming
Kunden,Customers
bekommen,receive
eben,even
kleine,small
trotz,despite
wirklich,really
Lage,Position
Länder,Countries
leicht,light
gekommen,came
Spiel,Game
laut,loud
November,November
kurz,short
politische,political
führt,leads
innerhalb,within
unsere,our
meint,means
immer wieder,again and again
Form,form
Münchner,Munich
AG,AG
anders,different
ihres,their
völlig,fully
beispielsweise,for example
gute,good
bislang,so far
August,August
Hand,hand
jede,every
GmbH,GmbH
Film,film
Minuten,minutes
erreicht,reached
beide,both
Musik,Music
Kritik,criticism
Mitte,center
Verfügung,Disposal
Buch,Book
dürfen,may
Unter,Under
jeweils,respectively
einigen,some
Zum,For the
Umsatz,Sales volume
spielen,play
Daten,Data
welche,which
müßten,would have to
hieß,was called
paar,couple
nachdem,after
Kunst,Art
Euro,euro
gebracht,brought
Problem,problem
Noch,Still
jeden,every
Ihre,Her
Sprecher,speaker
recht,right
erneut,anew
längst,long ago
europäischen,European
Sein,Be
Eltern,Parents
Beginn,Beginn
besteht,consists
Seine,His
mindestens,at least
machte,made
Jetzt,Now
bietet,offers
außerdem,aside from that
Bürger,Citizens
Trainer,trainer
bald,soon
Deutsche,German
Schon,Already
Fragen,Questions
klar,clear
Durch,Through
Seiten,pages
gehören,belong
Dort,There
erstmals,first time
Februar,February
zeigen,show
Titel,title
Stück,Piece
größten,largest
FDP,FDP
setzt,sets
Wert,Value
Frankfurter,Frankfurt
Staat,State
möchte,want
daher,therefore
wolle,wool
Bundesregierung,Federal government
lediglich,only 
Nacht,Night
Krieg,War
Opfer,Victim
Tod,Death
nimmt,takes
Firma,company
zuletzt,last
Werk,Factory
hohen,high
leben,life
unter anderem,among other things
Dieser,This
Kirche,Church
weiterhin,furthermore
gebe,give
gestellt,placed
Mitglieder,members
Rahmen,Frame
zweite,second
Paris,Paris
Situation,situation
gefunden,found
Wochenende,weekend
internationalen,international
Wasser,Water
Recht,Right
sonst,otherwise
stand,stand
Hälfte,half
Möglichkeit,Possibility
versucht,tried
blieb,remained
junge,boy
Mehrheit,majority
Straße,Street
Sache,Matter
arbeiten,work
Monate,Months
Mutter,Mother
berichtet,reported
letzte,last
Gericht,Court
wollten,wanted
Ihr,Her
zwölf,twelve
zumindest,at least
